iter	Passed	Remaining
0	2	7319
1	4	7191
2	6	6879
3	8	6652
4	10	6588
5	13	6517
6	15	6526
7	17	6692
8	19	6610
9	21	6546
10	24	6542
11	26	6508
12	28	6486
13	30	6466
14	32	6473
15	34	6437
16	36	6433
17	38	6397
18	40	6383
19	42	6370
20	44	6367
21	46	6348
22	48	6325
23	50	6298
24	52	6280
25	54	6282
26	57	6281
27	59	6268
28	61	6264
29	63	6267
30	65	6257
31	67	6245
32	69	6234
33	71	6218
34	73	6220
35	75	6225
36	77	6215
37	79	6218
38	81	6221
39	83	6211
40	85	6199
41	87	6195
42	90	6195
43	92	6186
44	94	6190
45	96	6180
46	98	6165
47	100	6154
48	102	6143
49	104	6148
50	106	6138
51	108	6135
52	110	6125
53	112	6117
54	114	6109
55	116	6101
56	118	6100
57	120	6093
58	122	6086
59	124	6088
60	126	6091
61	128	6084
62	130	6078
63	132	6069
64	134	6062
65	136	6056
66	138	6048
67	140	6042
68	142	6037
69	144	6036
70	146	6031
71	148	6025
72	150	6016
73	151	6009
74	153	6002
75	156	6002
76	157	5997
77	159	5991
78	161	5985
79	163	5979
80	165	5972
81	167	5966
82	169	5960
83	171	5956
84	173	5948
85	175	5942
86	177	5937
87	179	5940
88	181	5936
89	183	5940
90	185	5934
91	187	5934
92	189	5929
93	191	5934
94	193	5929
95	195	5924
96	198	5927
97	200	5942
98	203	5962
99	205	5964
100	207	5964
101	209	5962
102	211	5955
103	213	5949
104	215	5949
105	217	5951
106	219	5945
107	221	5941
108	223	5934
109	225	5929
110	227	5929
111	229	5924
112	231	5927
113	233	5921
114	236	5924
115	238	5920
116	240	5920
117	242	5919
118	244	5914
119	246	5909
120	248	5902
121	250	5903
122	252	5902
123	254	5900
124	256	5896
125	258	5895
126	260	5897
127	262	5899
128	264	5895
129	266	5893
130	268	5889
131	270	5884
132	272	5880
133	274	5875
134	276	5872
135	278	5868
136	280	5870
137	283	5870
138	284	5866
139	286	5861
140	288	5857
141	290	5854
142	292	5853
143	295	5852
144	297	5849
145	299	5849
146	301	5850
147	303	5847
148	305	5847
149	307	5843
150	309	5842
151	311	5840
152	313	5836
153	315	5833
154	317	5832
155	319	5832
156	321	5827
157	323	5826
158	325	5822
159	328	5824
160	330	5825
161	332	5822
162	334	5818
163	336	5818
164	338	5813
165	340	5812
166	342	5810
167	344	5811
168	346	5810
169	349	5809
170	351	5811
171	353	5812
172	355	5808
173	357	5804
174	359	5804
175	361	5803
176	363	5800
177	365	5796
178	367	5794
179	369	5794
180	371	5790
181	373	5789
182	375	5786
183	377	5783
184	380	5783
185	382	5782
186	384	5782
187	386	5778
188	388	5777
189	390	5779
190	392	5779
191	394	5776
192	396	5772
193	399	5772
194	401	5770
195	403	5770
196	405	5772
197	408	5775
198	410	5776
199	412	5781
200	415	5787
201	418	5790
202	420	5796
203	423	5797
204	425	5803
205	427	5803
206	430	5805
207	432	5807
208	435	5810
209	437	5815
210	440	5819
211	442	5823
212	445	5829
213	448	5832
214	450	5836
215	453	5839
216	455	5840
217	457	5841
218	460	5842
219	462	5846
220	465	5850
221	467	5851
222	470	5856
223	472	5858
224	475	5862
225	477	5863
226	480	5868
227	482	5871
228	485	5873
229	487	5875
230	490	5876
231	492	5876
232	494	5876
233	497	5877
234	499	5881
235	502	5886
236	504	5886
237	507	5888
238	510	5891
239	512	5897
240	515	5897
241	517	5900
242	520	5904
243	522	5904
244	525	5907
245	527	5907
246	529	5907
247	532	5906
248	534	5907
249	537	5910
250	539	5911
251	542	5915
252	545	5917
253	547	5919
254	550	5920
255	552	5919
256	554	5921
257	557	5925
258	560	5927
259	562	5927
260	564	5927
261	567	5929
262	569	5928
263	572	5930
264	574	5930
265	577	5933
266	579	5934
267	582	5934
268	584	5934
269	587	5937
270	589	5937
271	592	5940
272	594	5943
273	597	5944
274	600	5946
275	602	5946
276	604	5946
277	607	5945
278	609	5946
279	612	5946
280	614	5948
281	617	5948
282	619	5946
283	621	5946
284	624	5947
285	626	5949
286	629	5951
287	632	5955
288	635	5958
289	637	5960
290	640	5963
291	643	5963
292	645	5966
293	648	5969
294	651	5970
295	654	5975
296	656	5979
297	659	5982
298	662	5986
299	665	5987
300	668	5990
301	670	5994
302	673	5995
303	676	5998
304	679	5999
305	681	6003
306	684	6005
307	687	6005
308	689	6006
309	692	6009
310	695	6012
311	698	6013
312	700	6016
313	703	6018
314	706	6022
315	709	6025
316	712	6028
317	715	6031
318	717	6034
319	720	6034
320	723	6036
321	726	6039
322	729	6045
323	732	6048
324	735	6050
325	737	6052
326	740	6053
327	743	6055
328	746	6057
329	748	6059
330	751	6059
331	754	6062
332	757	6064
333	759	6065
334	762	6066
335	765	6068
336	767	6068
337	770	6069
338	773	6070
339	776	6071
340	778	6072
341	781	6074
342	784	6076
343	787	6076
344	789	6075
345	792	6077
346	794	6078
347	797	6078
348	800	6080
349	803	6081
350	805	6081
351	808	6083
352	811	6083
353	814	6084
354	816	6083
355	819	6083
356	821	6083
357	824	6085
358	827	6088
